color,size,style,age-range,dontknow,price
YELLOW,SMALL,STRETCH,ADULT,T,42
YELLOW,SMALL,STRETCH,CHILD,T,50
YELLOW,SMALL,DIP,ADULT,T,40
YELLOW,SMALL,DIP,CHILD,F,30
YELLOW,SMALL,DIP,CHILD,F,30
YELLOW,LARGE,STRETCH,ADULT,T,30
YELLOW,LARGE,STRETCH,CHILD,T,42
YELLOW,LARGE,DIP,ADULT,T,105
YELLOW,LARGE,DIP,CHILD,F,42
YELLOW,LARGE,DIP,CHILD,F,13
PURPLE,LARGE,STRETCH,ADULT,T,24
PURPLE,SMALL,STRETCH,CHILD,T,16
YELLOW,SMALL,DIP,ADULT,T,67
PURPLE,SMALL,DIP,CHILD,F,98
PURPLE,SMALL,DIP,CHILD,F,32
PURPLE,LARGE,STRETCH,ADULT,T,62
PURPLE,LARGE,STRETCH,CHILD,T,42
PURPLE,LARGE,DIP,ADULT,T,34
PURPLE,LARGE,DIP,CHILD,F,11
PURPLE,LARGE,DIP,CHILD,F,34
